,school,Gender,age,famsize,Pstatus,Unnamed: 5,StudyTime,failures,Unnamed: 8,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,Math,Science,English,Marks,Total
125,GP,M,15,GT3,T,,1,0,,5,5,5,3,2,5,0,13,13,12,48,61,75,184,184
128,GP,M,18,GT3,T,,1,2,,3,3,3,1,2,4,0,7,4,0,83,97,56,236,236
129,GP,M,16,GT3,T,,1,0,,3,5,5,2,5,4,8,18,18,18,47,61,48,156,156
134,GP,M,15,GT3,T,,2,0,,5,3,3,1,1,5,0,9,0,0,47,91,67,205,205
136,GP,M,17,GT3,T,,2,0,,5,4,5,2,4,5,0,10,0,0,74,45,68,187,187
138,GP,M,16,LE3,T,,2,1,,4,4,4,1,3,5,0,14,12,12,98,93,85,276,276
140,GP,M,15,GT3,T,,4,0,,2,2,2,1,1,3,0,7,9,0,81,99,45,225,225
141,GP,M,16,LE3,T,,1,2,,2,3,3,2,2,2,8,9,9,9,78,76,57,211,211
144,GP,M,17,GT3,T,,1,3,,5,4,5,1,2,5,0,5,0,0,67,92,86,245,245
148,GP,M,16,GT3,T,,1,0,,3,3,2,2,1,5,0,7,6,0,51,44,95,190,190
149,GP,M,15,LE3,A,,1,3,,4,5,5,2,5,5,0,8,9,10,73,78,69,220,220
150,GP,M,18,LE3,T,,1,3,,2,3,5,2,5,4,0,6,5,0,72,43,89,204,204
151,GP,M,16,LE3,T,,1,1,,4,4,4,3,5,5,6,12,13,14,87,45,98,230,230
153,GP,M,19,GT3,T,,1,3,,4,5,4,1,1,4,0,5,0,0,62,71,44,177,177
155,GP,M,15,GT3,T,,2,0,,4,4,4,1,1,1,2,11,8,8,76,69,95,240,240
156,GP,M,17,LE3,T,,1,0,,2,2,2,3,3,5,8,16,12,13,74,86,72,232,232
158,GP,M,16,GT3,T,,1,0,,4,2,2,1,2,3,2,17,15,15,79,94,40,213,213
159,GP,M,16,GT3,T,,2,1,,4,5,5,4,4,5,4,10,12,12,61,79,57,197,197
160,GP,M,17,LE3,T,,1,2,,3,3,2,2,2,5,0,7,6,0,66,91,71,228,228
161,GP,M,15,GT3,T,,2,2,,4,4,4,1,4,3,6,5,9,7,74,55,86,215,215
162,GP,M,16,LE3,T,,1,1,,4,4,4,2,4,5,0,7,0,0,40,52,88,180,180
163,GP,M,17,GT3,T,,1,0,,5,3,3,1,4,2,2,10,10,10,74,89,50,213,213
164,GP,M,17,LE3,T,,2,3,,5,3,5,1,5,5,0,5,8,7,76,99,60,235,235
165,GP,M,16,GT3,T,,1,1,,4,5,2,1,1,2,16,12,11,12,86,81,65,232,232
166,GP,M,16,GT3,T,,2,0,,4,3,5,2,4,4,4,10,10,10,53,69,64,186,186
170,GP,M,16,GT3,T,,1,2,,3,4,5,2,4,2,0,6,5,0,65,58,88,211,211
171,GP,M,16,GT3,T,,2,0,,4,3,2,1,1,3,2,13,15,16,94,67,52,213,213
172,GP,M,17,LE3,T,,2,0,,4,4,4,1,3,5,0,13,11,10,53,97,72,222,222
175,GP,M,17,LE3,T,,2,0,,4,4,4,4,4,4,4,10,9,9,48,76,74,198,198
177,GP,M,17,GT3,T,,2,0,,4,3,4,1,4,4,4,6,5,6,54,92,60,206,206
178,GP,M,16,GT3,T,,1,0,,4,3,3,3,4,3,10,10,8,9,65,62,87,214,214
179,GP,M,17,GT3,T,,2,0,,5,2,3,1,1,2,4,10,10,11,81,48,94,223,223
180,GP,M,16,GT3,T,,2,0,,3,4,3,2,3,3,10,9,8,8,99,51,45,195,195
181,GP,M,16,GT3,T,,2,0,,4,2,3,1,2,3,2,12,13,12,52,92,67,211,211
185,GP,M,17,GT3,T,,2,0,,4,3,4,2,3,4,12,12,12,11,88,40,44,172,172
186,GP,M,16,GT3,T,,1,0,,3,3,3,1,2,3,2,11,12,11,91,86,77,254,254
187,GP,M,16,LE3,T,,2,0,,4,2,3,1,2,5,0,15,15,15,71,73,42,186,186
189,GP,M,17,GT3,T,,2,0,,3,1,3,1,5,3,4,8,9,10,69,93,62,224,224
192,GP,M,17,GT3,T,,2,0,,4,4,4,4,5,5,12,7,8,8,78,79,76,233,233
193,GP,M,16,GT3,T,,1,0,,4,3,2,3,4,5,8,8,9,10,84,84,49,217,217
194,GP,M,16,GT3,T,,1,0,,5,3,3,1,1,3,0,13,14,14,54,92,49,195,195
196,GP,M,17,GT3,T,,1,0,,5,2,3,1,2,5,4,17,15,16,68,55,56,179,179
197,GP,M,16,LE3,T,,1,0,,3,3,4,3,5,3,8,9,9,10,75,78,60,213,213
211,GP,M,17,LE3,T,,2,0,,5,3,5,4,5,3,13,12,12,13,67,53,67,187,187
213,GP,M,18,GT3,T,,2,1,,4,4,4,2,4,5,15,6,7,8,83,44,47,174,174
217,GP,M,18,LE3,T,,2,1,,3,2,4,2,4,4,13,6,6,8,50,85,73,208,208
223,GP,M,18,GT3,T,,2,0,,3,3,3,5,5,4,0,12,13,13,72,65,51,188,188
227,GP,M,17,LE3,T,,2,0,,5,3,3,1,3,3,2,12,11,12,96,75,44,215,215
228,GP,M,18,LE3,T,,2,0,,4,3,2,4,5,3,14,10,8,9,91,72,69,232,232
231,GP,M,17,GT3,T,,2,0,,4,5,2,1,1,1,4,11,11,11,42,62,96,200,200
232,GP,M,17,GT3,T,,2,0,,4,5,5,1,3,2,14,11,9,9,78,97,56,231,231
233,GP,M,16,GT3,T,,2,0,,4,2,4,2,4,1,2,14,13,13,45,49,87,181,181
234,GP,M,16,LE3,T,,2,0,,3,4,2,1,1,5,18,9,7,6,47,93,86,226,226
235,GP,M,16,GT3,T,,3,0,,5,3,3,1,3,2,10,11,9,10,66,44,62,172,172
236,GP,M,17,LE3,T,,2,0,,4,4,2,5,5,4,4,14,13,13,48,75,54,177,177
239,GP,M,18,GT3,T,,2,1,,5,5,4,3,5,2,0,7,7,0,90,70,53,213,213
240,GP,M,17,LE3,T,,2,0,,2,5,5,1,4,5,14,12,12,12,81,49,41,171,171
241,GP,M,17,LE3,A,,2,0,,3,3,3,2,3,4,2,10,11,12,83,97,50,230,230
242,GP,M,16,LE3,T,,1,0,,5,4,5,1,1,3,0,6,0,0,63,58,90,211,211
243,GP,M,16,GT3,T,,1,0,,5,3,2,1,2,5,0,13,12,12,54,97,78,229,229
245,GP,M,16,GT3,T,,1,0,,4,3,3,1,1,4,6,18,18,18,93,40,99,232,232
246,GP,M,17,GT3,T,,1,0,,5,2,2,1,1,2,4,12,12,13,71,95,73,239,239
247,GP,M,22,GT3,T,,1,3,,5,4,5,5,5,1,16,6,8,8,71,44,77,192,192
248,GP,M,18,LE3,T,,2,1,,4,3,3,1,3,5,8,3,5,5,63,84,89,236,236
249,GP,M,16,GT3,T,,1,0,,4,3,2,2,4,5,0,13,15,15,80,43,73,196,196
250,GP,M,18,GT3,T,,1,1,,4,4,5,2,4,5,0,6,8,8,91,55,57,203,203
251,GP,M,16,GT3,T,,2,0,,5,3,3,1,3,2,6,7,10,10,88,63,69,220,220
252,GP,M,18,GT3,T,,1,1,,3,2,5,2,5,5,4,6,9,8,88,55,54,197,197
253,GP,M,16,GT3,T,,1,0,,3,3,2,1,3,3,0,8,9,8,97,94,66,257,257
254,GP,M,17,GT3,T,,1,0,,4,4,2,2,4,5,0,8,12,12,91,41,90,222,222
255,GP,M,17,LE3,T,,1,1,,4,4,4,1,2,5,2,7,9,8,51,88,73,212,212
257,GP,M,19,LE3,A,,2,0,,4,3,1,1,1,1,12,11,11,11,41,71,96,208,208
258,GP,M,18,GT3,T,,2,0,,5,2,4,1,2,4,8,15,14,14,42,66,77,185,185
261,GP,M,18,GT3,T,,2,0,,4,3,2,1,1,3,2,8,8,8,88,51,54,193,193
262,GP,M,18,GT3,T,,3,0,,5,3,2,1,1,3,1,13,12,12,95,89,99,283,283
265,GP,M,18,LE3,A,,2,0,,4,2,5,3,4,1,13,17,17,17,88,72,81,241,241
266,GP,M,17,GT3,T,,2,0,,5,4,4,3,4,5,2,9,9,10,41,72,90,203,203
268,GP,M,18,GT3,T,,2,0,,5,4,5,1,3,5,10,10,9,10,67,82,44,193,193
273,GP,M,17,GT3,T,,2,0,,3,5,2,2,2,1,2,15,14,14,72,72,56,200,200
277,GP,M,18,GT3,T,,1,0,,3,2,4,1,4,3,22,9,9,9,92,83,59,234,234
279,GP,M,18,LE3,T,,1,0,,4,2,3,1,2,1,8,10,11,10,65,52,44,161,161
280,GP,M,17,LE3,A,,1,0,,4,5,4,2,4,5,30,8,8,8,71,51,73,195,195
281,GP,M,17,LE3,A,,1,1,,4,4,4,3,4,3,19,11,9,10,45,70,45,160,160
285,GP,M,17,GT3,T,,2,0,,4,3,3,1,2,4,2,12,10,11,94,89,82,265,265
288,GP,M,18,GT3,T,,3,0,,4,2,4,1,3,2,6,15,14,14,98,56,50,204,204
289,GP,M,18,LE3,A,,2,0,,5,4,3,1,1,2,9,15,13,15,56,65,90,211,211
290,GP,M,18,GT3,T,,2,0,,4,3,2,1,4,5,11,12,11,11,77,47,86,210,210
294,GP,M,18,LE3,T,,3,0,,5,4,2,1,1,4,8,14,13,14,73,65,55,193,193
295,GP,M,17,GT3,T,,1,0,,4,4,3,1,3,5,4,14,12,11,45,73,70,188,188
299,GP,M,18,LE3,T,,1,0,,1,4,2,2,2,1,5,16,15,16,55,43,47,145,145
301,GP,M,17,LE3,T,,1,0,,4,1,1,2,2,5,0,11,11,10,48,92,79,219,219
304,GP,M,19,GT3,T,,2,1,,4,4,4,1,1,3,20,15,14,13,45,50,64,159,159
306,GP,M,20,GT3,A,,1,0,,5,5,3,1,1,5,0,17,18,18,68,95,71,234,234
307,GP,M,19,GT3,T,,1,1,,4,3,4,1,1,4,38,8,9,8,42,75,42,159,159
308,GP,M,19,GT3,T,,2,1,,4,5,3,1,2,5,0,15,12,12,59,64,66,189,189
312,GP,M,19,GT3,T,,2,1,,4,5,2,2,2,4,3,13,11,11,58,49,97,204,204
325,GP,M,18,GT3,T,,3,0,,4,3,3,2,2,3,3,9,12,11,79,63,80,222,222
326,GP,M,17,GT3,T,,1,0,,4,3,5,3,5,5,3,14,15,16,40,62,51,153,153
327,GP,M,17,GT3,T,,1,0,,4,4,5,5,5,4,8,11,10,10,50,71,65,186,186
330,GP,M,18,LE3,T,,4,0,,4,5,5,2,4,5,2,9,8,8,64,88,88,240,240
341,GP,M,18,GT3,T,,2,1,,4,3,3,2,2,2,0,10,10,0,87,87,86,260,260
342,GP,M,18,LE3,T,,2,0,,4,3,3,1,3,5,11,16,15,15,96,64,95,255,255
346,GP,M,18,GT3,T,,3,0,,5,3,2,1,2,4,9,16,15,16,41,58,56,155,155
347,GP,M,18,GT3,T,,3,0,,5,4,5,2,3,5,0,10,10,9,40,88,65,193,193
349,MS,M,18,GT3,T,,1,1,,2,5,5,5,5,5,10,11,13,13,51,51,40,142,142
350,MS,M,19,GT3,T,,2,3,,5,4,4,3,3,2,8,8,7,8,44,80,47,171,171
351,MS,M,17,GT3,T,,2,0,,4,5,4,2,3,3,2,13,13,13,76,58,88,222,222
352,MS,M,18,LE3,T,,1,1,,4,3,3,2,3,3,7,8,7,8,71,51,74,196,196
353,MS,M,19,GT3,T,,1,1,,4,4,4,3,3,5,4,8,8,8,98,48,91,237,237
354,MS,M,17,GT3,T,,2,0,,4,5,5,1,3,2,4,13,11,11,94,46,54,194,194
358,MS,M,18,LE3,T,,1,0,,3,3,2,1,2,3,4,10,10,10,58,91,53,202,202
361,MS,M,18,LE3,T,,2,1,,4,4,3,2,3,5,2,13,12,12,42,86,62,190,190
365,MS,M,18,GT3,T,,2,0,,3,3,4,2,4,3,4,10,10,10,95,74,84,253,253
366,MS,M,18,LE3,T,,3,0,,4,2,2,2,2,5,0,13,13,13,72,51,65,188,188
371,MS,M,18,LE3,T,,1,0,,4,3,3,2,3,3,3,14,12,12,47,75,46,168,168
380,MS,M,18,GT3,T,,2,0,,3,2,4,1,4,2,4,15,14,14,64,97,57,218,218
381,MS,M,18,GT3,T,,1,0,,4,4,3,1,3,5,5,7,6,7,68,78,97,243,243
382,MS,M,17,GT3,T,,2,0,,4,4,3,1,1,3,2,11,11,10,57,53,77,187,187
383,MS,M,19,GT3,T,,1,1,,4,3,2,1,3,5,0,6,5,0,85,70,74,229,229
384,MS,M,18,GT3,T,,1,1,,5,4,3,4,3,3,14,6,5,5,57,97,90,244,244
390,MS,M,20,LE3,A,,2,2,,5,5,4,4,5,4,11,9,9,9,75,50,49,174,174
391,MS,M,17,LE3,T,,1,0,,2,4,5,3,4,2,3,14,16,16,72,57,78,207,207
392,MS,M,21,GT3,T,,1,3,,5,5,3,3,3,3,3,10,8,7,43,86,96,225,225
393,MS,M,18,LE3,T,,1,0,,4,4,1,3,4,5,0,11,12,10,72,51,56,179,179
394,MS,M,19,LE3,T,,1,0,,3,2,3,3,3,5,5,8,9,9,53,48,78,179,179
